n,positive_rate,accuracy,balanced_accuracy,mcc,log_loss,brier,auc,average_precision,model,split,precision,recall,f1,tn,fp,fn,tp
53,0.660377358490566,0.660377358490566,0.5,0.0,0.689442630483235,0.24814780962329444,0.5,0.660377358490566,train_rate_baseline,walk_forward_2019,0.660377358490566,1.0,0.7954545454545454,0,18,0,35
53,0.660377358490566,0.5283018867924528,0.5753968253968254,0.14732666664642455,0.6796551018054982,0.24338118081603244,0.711111111111111,0.820738480369394,market_only_logistic,walk_forward_2019,0.75,0.42857142857142855,0.5454545454545454,13,5,20,15
74,0.43243243243243246,0.43243243243243246,0.5,0.0,0.7004314650903964,0.2536393819284525,0.5,0.43243243243243246,train_rate_baseline,walk_forward_2020,0.43243243243243246,1.0,0.6037735849056604,0,42,0,32
74,0.43243243243243246,0.581081081081081,0.5528273809523809,0.11610238143282049,0.7067608872640224,0.2555936072758028,0.5007440476190476,0.49428713840327915,market_only_logistic,walk_forward_2020,0.5238095238095238,0.34375,0.41509433962264153,32,10,21,11
66,0.6363636363636364,0.6363636363636364,0.5,0.0,0.6874537433170685,0.24715372057054474,0.5,0.6363636363636364,train_rate_baseline,walk_forward_2021,0.6363636363636364,1.0,0.7777777777777778,0,24,0,42
66,0.6363636363636364,0.5909090909090909,0.5535714285714286,0.10816713919414002,0.684689260689046,0.24575020962598726,0.5634920634920635,0.6762891130413816,market_only_logistic,walk_forward_2021,0.6744186046511628,0.6904761904761905,0.6823529411764706,10,14,13,29
83,0.5301204819277109,0.5301204819277109,0.5,0.0,0.6914001969628585,0.24912696312632945,0.5,0.5301204819277109,train_rate_baseline,walk_forward_2022,0.5301204819277109,1.0,0.6929133858267716,0,39,0,44
83,0.5301204819277109,0.43373493975903615,0.4222027972027972,-0.16742816513831593,0.7108914431609431,0.25856372705347597,0.43123543123543123,0.5005503932243317,market_only_logistic,walk_forward_2022,0.47368421052631576,0.6136363636363636,0.5346534653465347,9,30,17,27
185,0.4864864864864865,0.4864864864864865,0.5,0.0,0.6957457195570445,0.2512979299066425,0.5,0.4864864864864865,train_rate_baseline,final_holdout,0.4864864864864865,1.0,0.6545454545454545,0,95,0,90
185,0.4864864864864865,0.4594594594594595,0.46637426900584794,-0.07834558226752342,0.7172515878626857,0.26162780865700813,0.4732163742690058,0.48291966657396,market_only_logistic,final_holdout,0.4642857142857143,0.7222222222222222,0.5652173913043478,20,75,25,65
276,0.5543478260869565,0.5543478260869565,0.5,0.0,0.6925019972432774,0.24967692634014996,0.432807269249163,0.5257655962377263,train_rate_baseline,walk_forward_aggregate,0.5543478260869565,1.0,0.7132867132867133,0,123,0,153
276,0.5543478260869565,0.5289855072463768,0.5281364578351666,0.05595272578449728,0.6975199530473347,0.25178779964642317,0.543068175779797,0.5734506838557615,market_only_logistic,walk_forward_aggregate,0.5815602836879432,0.5359477124183006,0.5578231292517006,64,59,71,82
