symbol,company_name,year,quarter,call_datetime,pres_pos,pres_neg,pres_neu,qa_pos,qa_neg,qa_neu,sentiment_mismatch_pos,sentiment_mismatch_neg,evasion_index,abnormal_return_5d
ADP,"Automatic Data Processing, Inc.",2020,4,2020-07-29 08:30:00,0.35045958,0.54769444,0.10184599,0.15359364,0.2639902,0.5824162,0.19686593,0.28370425,0.20411332,-0.11497904357283072
ADP,"Automatic Data Processing, Inc.",2020,3,2020-04-29 08:30:00,0.37377766,0.39420432,0.23201798,0.21406083,0.09373335,0.69220585,0.15971683,0.30047098,0.25873107,0.016066753589916
ADP,"Automatic Data Processing, Inc.",2023,3,2023-04-26 08:30:00,0.698615,0.09454957,0.20683545,0.24402319,0.03278663,0.72319025,0.4545918,0.061762936,0.50523156,0.015569625323053508
ADP,"Automatic Data Processing, Inc.",2023,1,2022-10-26 08:30:00,0.60832757,0.016874768,0.37479764,0.23349582,0.08683821,0.67966604,0.37483174,-0.06996344,0.4134596,0.02441671981513175
ALLE,Allegion plc,2020,3,2020-10-22 08:00:00,0.29515344,0.5604906,0.14435592,0.4208743,0.04010041,0.5390253,-0.12572086,0.5203902,0.15909517,-0.019211586674738844
ALLE,Allegion plc,2020,2,2020-07-23 08:00:00,0.1423761,0.54348725,0.31413668,0.27312967,0.05073333,0.676137,-0.13075358,0.49275392,0.09626574,-0.11653067960624121
ALLE,Allegion plc,2021,4,2022-02-15 08:00:00,0.022273311,0.03320523,0.94452137,0.3511595,0.16191098,0.48692948,-0.3288862,-0.12870575,0.010845532,-0.03409121387549252
ALLE,Allegion plc,2022,3,2022-10-27 08:00:00,0.57526505,0.267287,0.15744793,0.462001,0.023948241,0.5140508,0.113264054,0.24333875,0.29571545,0.0803758918377898
ALLE,Allegion plc,2022,2,2022-07-30 08:00:00,0.45371735,0.27678928,0.26949334,0.43716168,0.05382254,0.50901574,0.016555667,0.22296673,0.23094927,-0.029139296314255186
ALLE,Allegion plc,2022,1,2022-04-26 08:00:00,0.5502657,0.2708138,0.17892046,0.5356546,0.11790272,0.3464427,0.014611125,0.15291107,0.19063555,0.03400843946715965
ALLE,Allegion plc,2023,2,2023-07-26 08:00:00,0.80626935,0.06882284,0.124907784,0.31686565,0.09190798,0.59122634,0.4894037,-0.02308514,0.47668767,-0.08724121084285867
ALLE,Allegion plc,2023,1,2023-04-26 11:00:00,0.74461937,0.16665007,0.088730566,0.419267,0.058326006,0.522407,0.32535237,0.108324066,0.38899437,0.06406326291275932
ALLE,Allegion plc,2024,2,2024-07-24 08:00:00,0.781596,0.023173975,0.19522996,0.39014423,0.029937634,0.57991815,0.39145178,-0.0067636594,0.4532617,0.08173843759271661
ALLE,Allegion plc,2024,1,2024-04-25 08:00:00,0.45403224,0.4979582,0.04800961,0.3118604,0.03371561,0.654424,0.14217183,0.4642426,0.2971296,-0.03235835231873389
ALLE,Allegion plc,2025,1,2025-04-24 08:00:00,0.66332334,0.15394539,0.18273123,0.19491993,0.034902856,0.7701771,0.4684034,0.11904253,0.5108765,0.054246574857046356
AME,"AMETEK, Inc.",2020,2,2020-08-04 08:30:00,0.4177096,0.38864955,0.19364086,0.18851739,0.22706088,0.5844217,0.2291922,0.16158867,0.24411854,0.03342527626025541
AME,"AMETEK, Inc.",2020,1,2020-05-05 08:30:00,0.2937729,0.51561487,0.19061221,0.26614758,0.1548925,0.57895994,0.027625322,0.36072236,0.17008275,0.004803200528961682
AME,"AMETEK, Inc.",2021,4,2022-02-03 08:30:00,0.9205856,0.0278544,0.051560003,0.4416612,0.025868539,0.5324703,0.47892436,0.001985861,0.49018446,-0.0121739745563632
AME,"AMETEK, Inc.",2023,2,2023-08-01 08:30:00,0.62854356,0.1362369,0.23521958,0.48093456,0.02825022,0.4908152,0.147609,0.10798669,0.30849874,0.03150058403907527
AME,"AMETEK, Inc.",2023,1,2023-05-02 08:30:00,0.81672615,0.08322838,0.10004545,0.53221124,0.03134915,0.4364396,0.2845149,0.05187923,0.35645163,0.04807055853822323
AME,"AMETEK, Inc.",2024,4,2025-02-04 08:30:00,0.6617715,0.23474188,0.10348657,0.54616547,0.08936599,0.3644685,0.11560601,0.14537589,0.24119484,-0.005869929872865507
AME,"AMETEK, Inc.",2024,2,2024-08-01 08:30:00,0.58710134,0.1348447,0.27805397,0.30333167,0.2345485,0.46211985,0.28376967,-0.09970379,0.2713112,-0.04757413317977866
AME,"AMETEK, Inc.",2024,1,2024-05-02 08:30:00,0.83803,0.009746856,0.1522232,0.17663124,0.0643019,0.7590669,0.66139877,-0.054555044,0.6361208,-0.06244564410347735
AME,"AMETEK, Inc.",2025,1,2025-05-01 08:30:00,0.73846334,0.0419815,0.21955521,0.33368593,0.081129014,0.58518505,0.4047774,-0.039147515,0.4321377,-0.005302051440159607
AOS,A. O. Smith Corporation,2020,4,2021-01-28 10:00:00,0.61644363,0.3196497,0.063906685,0.2375243,0.11613945,0.6463362,0.37891933,0.20351025,0.39842984,0.07562611010977746
AOS,A. O. Smith Corporation,2021,1,2021-04-29 10:00:00,0.63924634,0.29222053,0.06853314,0.2988975,0.15172146,0.5493811,0.34034884,0.14049907,0.35118985,0.07193423830889756
AOS,A. O. Smith Corporation,2023,4,2024-01-30 10:00:00,0.72750837,0.071565256,0.20092635,0.33935118,0.053300727,0.6073481,0.3881572,0.018264528,0.4418508,-0.04357624511133506
AOS,A. O. Smith Corporation,2023,3,2023-10-26 10:00:00,0.72455895,0.056190766,0.21925028,0.18241738,0.09271737,0.72486526,0.54214156,-0.036526605,0.52520764,0.06839141982942622
AOS,A. O. Smith Corporation,2023,2,2023-07-27 10:00:00,0.49013716,0.18683532,0.32302752,0.3967545,0.05825493,0.54499054,0.09338266,0.12858039,0.26712012,-0.01875862533055394
AOS,A. O. Smith Corporation,2024,1,2024-04-25 10:00:00,0.8758354,0.024727006,0.0994377,0.16891146,0.16177374,0.6693148,0.70692396,-0.13704674,0.5862096,-0.03448285242304862
AXON,"Axon Enterprise, Inc.",2021,2,2021-08-06 18:00:00,0.4055759,0.015228495,0.5791956,0.37217462,0.016735489,0.6110899,0.03340128,-0.0015069935,0.24784333,-0.04270664523092768
BA,The Boeing Company,2023,2,2023-07-26 10:30:00,0.82397324,0.09414149,0.08188532,0.26277623,0.043888647,0.6933351,0.56119704,0.050252844,0.5712896,0.09244710280014015
BLDR,"Builders FirstSource, Inc.",2020,4,2021-02-26 09:00:00,0.78325886,0.020555794,0.19618529,0.303583,0.046449173,0.6499679,0.47967586,-0.025893379,0.5090931,0.06836687653446945
BLDR,"Builders FirstSource, Inc.",2020,3,2020-10-30 10:00:00,0.7862405,0.046712797,0.16704667,0.20756526,0.17104018,0.62139463,0.57867527,-0.12432738,0.48856565,0.07573618771571544
BLDR,"Builders FirstSource, Inc.",2020,2,2020-07-31 10:00:00,0.55672103,0.30521512,0.13806383,0.29220626,0.10616015,0.60163355,0.26451477,0.19905497,0.33494204,0.11659050657236067
BLDR,"Builders FirstSource, Inc.",2020,1,2020-05-01 10:00:00,0.5006443,0.27323118,0.22612451,0.19069822,0.24697874,0.56232303,0.30994612,0.026252434,0.28152382,-0.031032305637924116
BLDR,"Builders FirstSource, Inc.",2021,4,2022-03-01 09:00:00,0.78359497,0.024384279,0.19202073,0.34349674,0.028800499,0.6277028,0.44009823,-0.00441622,0.49186474,-0.005267327976450346
BLDR,"Builders FirstSource, Inc.",2021,2,2021-08-07 09:00:00,0.81572336,0.017094295,0.16718243,0.42828932,0.037069283,0.5346414,0.38743404,-0.019974988,0.43611947,0.08098177661395216
BLDR,"Builders FirstSource, Inc.",2021,1,2021-05-09 09:00:00,0.7037641,0.1055197,0.19071627,0.3416389,0.03883208,0.619529,0.3621252,0.066687614,0.43600225,-0.06784930396171374
BLDR,"Builders FirstSource, Inc.",2024,4,2025-02-20 09:00:00,0.42267343,0.327261,0.25006557,0.1905841,0.09975665,0.7096593,0.23208934,0.22750434,0.29995412,0.007038765187502238
