split,challenger,baseline,n,challenger_auc,baseline_auc,auc_difference,auc_ci_lower_95,auc_ci_upper_95,bootstrap_prob_delta_gt_zero,ci_interpretation
walk_forward_2019,historical_xgboost_depth1_trees200,original_logistic,53,0.6492063492063491,0.6634920634920635,-0.014285714285714346,-0.16491447241975793,0.1532687109931693,0.438,95% company-clustered bootstrap interval for AUC difference
walk_forward_2019,sentence_plus_historical_xgboost_depth1_trees100,original_logistic,53,0.6793650793650794,0.6634920634920635,0.015873015873015928,-0.11315126050420173,0.15237000902323486,0.615,95% company-clustered bootstrap interval for AUC difference
walk_forward_2019,sentence_plus_historical_xgboost_depth1_trees100,historical_xgboost_depth1_trees200,53,0.6793650793650794,0.6492063492063491,0.030158730158730274,-0.01622289872289878,0.08613345402819082,0.904,95% company-clustered bootstrap interval for AUC difference
walk_forward_2020,historical_xgboost_depth1_trees200,original_logistic,74,0.640625,0.5543154761904762,0.08630952380952384,-0.036159885006634106,0.21213768115942014,0.9105,95% company-clustered bootstrap interval for AUC difference
walk_forward_2020,sentence_plus_historical_xgboost_depth1_trees100,original_logistic,74,0.5959821428571428,0.5543154761904762,0.04166666666666663,-0.04651622226677345,0.12500886273397613,0.83,95% company-clustered bootstrap interval for AUC difference
walk_forward_2020,sentence_plus_historical_xgboost_depth1_trees100,historical_xgboost_depth1_trees200,74,0.5959821428571428,0.640625,-0.044642857142857206,-0.11112654320987649,0.020595268205562192,0.093,95% company-clustered bootstrap interval for AUC difference
walk_forward_2021,historical_xgboost_depth1_trees200,original_logistic,66,0.6339285714285714,0.5486111111111112,0.08531746031746024,-0.07313721824591392,0.2400631133270022,0.839,95% company-clustered bootstrap interval for AUC difference
walk_forward_2021,sentence_plus_historical_xgboost_depth1_trees100,original_logistic,66,0.6299603174603174,0.5486111111111112,0.08134920634920628,-0.06624527760287424,0.21274222488038252,0.859,95% company-clustered bootstrap interval for AUC difference
walk_forward_2021,sentence_plus_historical_xgboost_depth1_trees100,historical_xgboost_depth1_trees200,66,0.6299603174603174,0.6339285714285714,-0.003968253968253954,-0.10350517598343666,0.08865018427518419,0.497,95% company-clustered bootstrap interval for AUC difference
walk_forward_2022,historical_xgboost_depth1_trees200,original_logistic,83,0.5530303030303031,0.5407925407925408,0.012237762237762295,-0.09526515151515151,0.12293265132139798,0.59,95% company-clustered bootstrap interval for AUC difference
walk_forward_2022,sentence_plus_historical_xgboost_depth1_trees100,original_logistic,83,0.6086829836829837,0.5407925407925408,0.06789044289044288,-0.041140943877551114,0.16891152922058678,0.9015,95% company-clustered bootstrap interval for AUC difference
walk_forward_2022,sentence_plus_historical_xgboost_depth1_trees100,historical_xgboost_depth1_trees200,83,0.6086829836829837,0.5530303030303031,0.055652680652680586,-0.02032894868260716,0.11813624608435919,0.9355,95% company-clustered bootstrap interval for AUC difference
final_holdout,historical_xgboost_depth1_trees200,original_logistic,185,0.5909941520467836,0.6348538011695908,-0.043859649122807154,-0.10799522283784982,0.018933403749167296,0.0765,95% company-clustered bootstrap interval for AUC difference
final_holdout,sentence_plus_historical_xgboost_depth1_trees100,original_logistic,185,0.6268421052631579,0.6348538011695908,-0.008011695906432914,-0.05704787894240515,0.04334241929945057,0.3835,95% company-clustered bootstrap interval for AUC difference
final_holdout,sentence_plus_historical_xgboost_depth1_trees100,historical_xgboost_depth1_trees200,185,0.6268421052631579,0.5909941520467836,0.03584795321637424,-0.010346308821693753,0.09086992904003204,0.935,95% company-clustered bootstrap interval for AUC difference
walk_forward_aggregate,historical_xgboost_depth1_trees200,original_logistic,276,0.6286731494765929,0.5552367288378766,0.07343642063871636,0.015904287670036092,0.13441575165811367,0.9965,95% company-clustered bootstrap interval for AUC difference
walk_forward_aggregate,sentence_plus_historical_xgboost_depth1_trees100,original_logistic,276,0.6314097454700037,0.5552367288378766,0.07617301663212717,0.03333081955731682,0.12097819406427415,1.0,95% company-clustered bootstrap interval for AUC difference
walk_forward_aggregate,sentence_plus_historical_xgboost_depth1_trees100,historical_xgboost_depth1_trees200,276,0.6314097454700037,0.6286731494765929,0.0027365959934108064,-0.032941981260897785,0.033930233540433806,0.563,95% company-clustered bootstrap interval for AUC difference
