model,split,negative_count,positive_count,tn,fp,fn,tp
original_logistic,walk_forward_2019,18,35,13,5,19,16
original_logistic,walk_forward_2020,42,32,21,21,16,16
original_logistic,walk_forward_2021,24,42,3,21,7,35
original_logistic,walk_forward_2022,39,44,12,27,10,34
original_logistic,final_holdout,95,90,30,65,15,75
original_logistic,walk_forward_aggregate,123,153,49,74,52,101
historical_xgboost_depth1_trees200,walk_forward_2019,18,35,12,6,16,19
historical_xgboost_depth1_trees200,walk_forward_2020,42,32,29,13,15,17
historical_xgboost_depth1_trees200,walk_forward_2021,24,42,6,18,5,37
historical_xgboost_depth1_trees200,walk_forward_2022,39,44,21,18,20,24
historical_xgboost_depth1_trees200,final_holdout,95,90,43,52,32,58
historical_xgboost_depth1_trees200,walk_forward_aggregate,123,153,68,55,56,97
sentence_plus_historical_xgboost_depth1_trees100,walk_forward_2019,18,35,13,5,17,18
sentence_plus_historical_xgboost_depth1_trees100,walk_forward_2020,42,32,28,14,15,17
sentence_plus_historical_xgboost_depth1_trees100,walk_forward_2021,24,42,5,19,5,37
sentence_plus_historical_xgboost_depth1_trees100,walk_forward_2022,39,44,20,19,15,29
sentence_plus_historical_xgboost_depth1_trees100,final_holdout,95,90,46,49,29,61
sentence_plus_historical_xgboost_depth1_trees100,walk_forward_aggregate,123,153,66,57,52,101
