n,positive_rate,accuracy,balanced_accuracy,mcc,log_loss,brier,auc,average_precision,model,split,precision,recall,f1,tn,fp,fn,tp,negative_count,positive_count,predicted_negative_count,predicted_positive_count,calibration_mae,top_bottom_spread,after_cost_spread,top_mean_return,bottom_mean_return,top_hit_rate,top_n,bottom_n,train_rule,mean_fold_auc,auc_ci_lower_95,auc_ci_upper_95,bootstrap_prob_delta_gt_zero
53,0.660377358490566,0.5471698113207547,0.5896825396825397,0.173669491318031,0.6866702202535058,0.2467085164859289,0.6634920634920635,0.784862729655187,original_logistic,walk_forward_2019,0.7619047619047619,0.45714285714285713,0.5714285714285714,13,5,19,16,18,35,32,21,0.20031746779880172,0.05611173077935705,0.05411173077935705,0.028520096333252344,-0.027591634446104706,0.8,10,10,expanding_pre_event_years,,,,
74,0.43243243243243246,0.5,0.5,0.0,0.6856935332599101,0.2464348938264695,0.5543154761904762,0.50039229335079,original_logistic,walk_forward_2020,0.43243243243243246,0.5,0.463768115942029,21,21,16,16,42,32,37,37,0.09287523392753108,0.040030008363976445,0.03803000836397644,0.00576843775598068,-0.03426157060799576,0.5714285714285714,14,14,expanding_pre_event_years,,,,
66,0.6363636363636364,0.5757575757575758,0.4791666666666667,-0.05590169943749474,0.6725514731171891,0.23986833041804312,0.5486111111111112,0.7276315542199139,original_logistic,walk_forward_2021,0.625,0.8333333333333334,0.7142857142857143,3,21,7,35,24,42,10,56,0.15429943209557206,0.017142431971392258,0.015142431971392258,0.031091978385968697,0.01394954641457644,0.6923076923076923,13,13,expanding_pre_event_years,,,,
83,0.5301204819277109,0.5542168674698795,0.5402097902097902,0.09093774625760685,0.6888501167793483,0.24779394331368204,0.5407925407925408,0.5402833510067018,original_logistic,walk_forward_2022,0.5573770491803278,0.7727272727272727,0.6476190476190476,12,27,10,34,39,44,22,61,0.10177780030304184,0.010907761957931597,0.008907761957931597,-0.010785685653239268,-0.021693447611170865,0.4375,16,16,expanding_pre_event_years,,,,
185,0.4864864864864865,0.5675675675675675,0.5745614035087719,0.17372281285407365,0.6770811060482241,0.24210982780947998,0.6348538011695908,0.6098483073181937,original_logistic,final_holdout,0.5357142857142857,0.8333333333333334,0.6521739130434783,30,65,15,75,95,90,45,140,0.06966257714879702,0.034372711941518544,0.03237271194151854,0.017350588650832006,-0.017022123290686537,0.6486486486486487,37,37,pre_2023_train,,,,
276,0.5543478260869565,0.5434782608695652,0.5292523513470428,0.06036835428381078,0.6836876813517737,0.24532587180992546,0.5552367288378766,0.5982034403822594,original_logistic,walk_forward_aggregate,0.5771428571428572,0.6601307189542484,0.6158536585365854,49,74,52,101,123,153,101,175,0.038887082536298544,0.032551490139461306,0.030551490139461304,0.013380632970736193,-0.019170857168725117,0.6181818181818182,55,55,expanding_pre_event_years,0.5768027978965479,0.48855808395729555,0.6131787148091575,1.0
53,0.660377358490566,0.5849056603773585,0.6047619047619047,0.19877173863915526,0.6768754774488315,0.24117088509053627,0.6492063492063491,0.769648883886307,historical_xgboost_depth1_trees200,walk_forward_2019,0.76,0.5428571428571428,0.6333333333333333,12,6,16,19,18,35,28,25,0.17388412558181815,0.035517756423757235,0.03351775642375723,0.025485754139309112,-0.01003200228444812,0.7,10,10,expanding_pre_event_years,,,,
74,0.43243243243243246,0.6216216216216216,0.6108630952380952,0.22373280323606382,0.6670113086001962,0.23632810873002008,0.640625,0.5957113764808359,historical_xgboost_depth1_trees200,walk_forward_2020,0.5666666666666667,0.53125,0.5483870967741935,29,13,15,17,42,32,44,30,0.058617886857142865,0.00829554526098075,0.0062955452609807505,0.0007671800649591712,-0.007528365196021579,0.5714285714285714,14,14,expanding_pre_event_years,,,,
66,0.6363636363636364,0.6515151515151515,0.5654761904761905,0.16903085094570333,0.6337217576535962,0.22135244457969558,0.6339285714285714,0.7405374760139962,historical_xgboost_depth1_trees200,walk_forward_2021,0.6727272727272727,0.8809523809523809,0.7628865979381443,6,18,5,37,24,42,11,55,0.06773704973626374,0.016115479928478692,0.014115479928478692,0.009991391282061595,-0.006124088646417095,0.6923076923076923,13,13,expanding_pre_event_years,,,,
83,0.5301204819277109,0.5421686746987951,0.5419580419580419,0.08376976107779828,0.6978724633910017,0.2521040667600194,0.5530303030303031,0.5600682650866428,historical_xgboost_depth1_trees200,walk_forward_2022,0.5714285714285714,0.5454545454545454,0.5581395348837209,21,18,20,24,39,44,41,42,0.10671619160294119,0.03820846425028976,0.03620846425028976,0.016099410992125036,-0.022109053258164722,0.5,16,16,expanding_pre_event_years,,,,
185,0.4864864864864865,0.5459459459459459,0.5485380116959064,0.09882528164772454,0.6883059067307316,0.24705938681752998,0.5909941520467836,0.5600920802770344,historical_xgboost_depth1_trees200,final_holdout,0.5272727272727272,0.6444444444444445,0.58,43,52,32,58,95,90,75,110,0.05770712929729728,0.03505102085505224,0.03305102085505224,0.007452525649014163,-0.027598495206038073,0.5945945945945946,37,37,pre_2023_train,,,,
276,0.5543478260869565,0.5978260869565217,0.5934162282799298,0.18668866870526707,0.6702256797383807,0.2384211443447877,0.6286731494765929,0.6550936773032561,historical_xgboost_depth1_trees200,walk_forward_aggregate,0.6381578947368421,0.6339869281045751,0.6360655737704918,68,55,56,97,123,153,124,152,0.05845663777662332,0.029055028861435746,0.027055028861435744,0.014755852519412633,-0.014299176342023115,0.6545454545454545,55,55,expanding_pre_event_years,0.6191975559163059,0.5598474811749526,0.6970149480459171,1.0
53,0.660377358490566,0.5849056603773585,0.6182539682539683,0.2259911584126674,0.6726214323113449,0.23967415909003442,0.6793650793650794,0.7951739182476527,sentence_plus_historical_xgboost_depth1_trees100,walk_forward_2019,0.782608695652174,0.5142857142857142,0.6206896551724138,13,5,17,18,18,35,30,23,0.1862507401818182,0.033743564333632806,0.031743564333632804,0.0274915359021956,-0.006252028431437208,0.7,10,10,expanding_pre_event_years,,,,
74,0.43243243243243246,0.6081081081081081,0.5989583333333333,0.19873159930454073,0.6725229879212334,0.23980726663227586,0.5959821428571428,0.5722431146746827,sentence_plus_historical_xgboost_depth1_trees100,walk_forward_2020,0.5483870967741935,0.53125,0.5396825396825397,28,14,15,17,42,32,43,31,0.0720918855619048,0.021806193987805006,0.019806193987805004,0.002522083454371336,-0.01928411053343367,0.5714285714285714,14,14,expanding_pre_event_years,,,,
66,0.6363636363636364,0.6363636363636364,0.5446428571428571,0.11978935593748874,0.6425581588973732,0.2254216306587291,0.6299603174603174,0.7541766978432413,sentence_plus_historical_xgboost_depth1_trees100,walk_forward_2021,0.6607142857142857,0.8809523809523809,0.7551020408163265,5,19,5,37,24,42,10,56,0.1378712606153846,0.04339496585772582,0.04139496585772582,0.03758218581505147,-0.005812780042674353,0.8461538461538461,13,13,expanding_pre_event_years,,,,
83,0.5301204819277109,0.5903614457831325,0.585955710955711,0.17374356696530396,0.6765713472047387,0.24175198443565704,0.6086829836829837,0.5956545156814166,sentence_plus_historical_xgboost_depth1_trees100,walk_forward_2022,0.6041666666666666,0.6590909090909091,0.6304347826086957,20,19,15,29,39,44,35,48,0.10172037064705881,0.04832413067928723,0.04632413067928723,0.023338549573749742,-0.02498558110553749,0.5625,16,16,expanding_pre_event_years,,,,
185,0.4864864864864865,0.5783783783783784,0.5809941520467836,0.16490724708686566,0.6753662335591253,0.24104239575796116,0.6268421052631579,0.5947763545348199,sentence_plus_historical_xgboost_depth1_trees100,final_holdout,0.5545454545454546,0.6777777777777778,0.61,46,49,29,61,95,90,75,110,0.043535507405405405,0.04174981781776668,0.03974981781776668,0.014197835397906195,-0.027551982419860486,0.6216216216216216,37,37,pre_2023_train,,,,
276,0.5543478260869565,0.605072463768116,0.5983580424039534,0.19763715618033564,0.6665938308836684,0.2369264872978112,0.6314097454700037,0.6622875136607943,sentence_plus_historical_xgboost_depth1_trees100,walk_forward_aggregate,0.6392405063291139,0.6601307189542484,0.6495176848874598,66,57,52,101,123,153,118,158,0.046598629675324646,0.03573048282550724,0.03373048282550724,0.02264828694536136,-0.013082195880145878,0.6727272727272727,55,55,expanding_pre_event_years,0.6284976308413808,0.569075898932398,0.687729239656323,1.0
