n,positive_rate,accuracy,balanced_accuracy,mcc,log_loss,brier,auc,average_precision,feature_block,model,split,top_bottom_spread,after_cost_spread,top_mean_return,bottom_mean_return,top_hit_rate,top_n,bottom_n,auc_lower_95,auc_upper_95,target
53,0.660377358490566,0.5283018867924528,0.5753968253968254,0.14732666664642455,0.6807755017065571,0.2439410664464695,0.7095238095238096,0.8202407202897524,market_only,logistic,walk_forward_2019,0.04014268325039368,0.03814268325039368,0.030751309066524634,-0.00939137418386905,0.9,10,10,,,market_subtracted
74,0.43243243243243246,0.5675675675675675,0.5372023809523809,0.0830019867593329,0.7066187997497473,0.25545133112426704,0.5022321428571429,0.4944939882771203,market_only,logistic,walk_forward_2020,0.012555655782682529,0.010555655782682529,0.0047319685468552595,-0.00782368723582727,0.5,14,14,,,market_subtracted
66,0.6363636363636364,0.5909090909090909,0.5535714285714286,0.10816713919414002,0.6853392535310796,0.2460719493979116,0.5615079365079365,0.672562549952378,market_only,logistic,walk_forward_2021,-0.008505174980284965,-0.010505174980284965,0.0033031421498013404,0.011808317130086305,0.6153846153846154,13,13,,,market_subtracted
83,0.5301204819277109,0.43373493975903615,0.4222027972027972,-0.16742816513831593,0.7111500403211213,0.2586874041004213,0.4347319347319348,0.5022250750416482,market_only,logistic,walk_forward_2022,-0.04704801861771302,-0.04904801861771302,-0.02141420491132559,0.025633813706387426,0.4375,16,16,,,market_subtracted
53,0.660377358490566,0.5283018867924528,0.5753968253968254,0.14732666664642455,0.6848991894663329,0.24575910820397368,0.6603174603174604,0.8163218361344078,market_only,xgboost,walk_forward_2019,0.03931187417232244,0.037311874172322436,0.031765448917430036,-0.0075464252548923996,0.9,10,10,,,market_subtracted
74,0.43243243243243246,0.527027027027027,0.5126488095238095,0.02567284666036822,0.7028378854383046,0.2542953312214068,0.5301339285714285,0.48287332008362815,market_only,xgboost,walk_forward_2020,0.001969687543525408,-3.0312456474591853e-05,-6.450340841504036e-05,-0.0020341909519404487,0.35714285714285715,14,14,,,market_subtracted
66,0.6363636363636364,0.5151515151515151,0.5208333333333333,0.04010555924498425,0.6976843447635641,0.2520488946679704,0.5436507936507937,0.6945196545682812,market_only,xgboost,walk_forward_2021,-0.017697390917988314,-0.019697390917988312,0.014360726500297464,0.03205811741828578,0.6923076923076923,13,13,,,market_subtracted
83,0.5301204819277109,0.40963855421686746,0.40967365967365965,-0.18033768009803797,0.7893435778237559,0.294835924610161,0.37179487179487175,0.442780534971725,market_only,xgboost,walk_forward_2022,-0.05115036664696155,-0.05315036664696155,-0.02177662139387437,0.02937374525308718,0.3125,16,16,,,market_subtracted
53,0.660377358490566,0.5849056603773585,0.5777777777777777,0.14799641015976975,0.825836139883894,0.2728065528305198,0.5809523809523809,0.6872315200890496,sentence_sentiment,logistic,walk_forward_2019,0.06642449012365982,0.06442449012365982,0.03619522949544129,-0.030229260628218534,0.7,10,10,,,market_subtracted
74,0.43243243243243246,0.6216216216216216,0.6257440476190477,0.249272297902936,0.7274076174123175,0.25000772623423745,0.65625,0.606774505830457,sentence_sentiment,logistic,walk_forward_2020,0.03890498375426086,0.03690498375426086,0.017644381000954886,-0.021260602753305973,0.7142857142857143,14,14,,,market_subtracted
66,0.6363636363636364,0.6060606060606061,0.5386904761904762,0.08685990362153792,0.6490884764915357,0.2293003599790056,0.619047619047619,0.7675569633164017,sentence_sentiment,logistic,walk_forward_2021,0.044461918676958714,0.04246191867695871,0.034321173479284275,-0.010140745197674435,0.8461538461538461,13,13,,,market_subtracted
83,0.5301204819277109,0.5421686746987951,0.5375874125874126,0.07597600046957359,0.729719506148703,0.2650277439204201,0.5372960372960373,0.579790298665369,sentence_sentiment,logistic,walk_forward_2022,0.04590322108986629,0.04390322108986629,0.020872389551120085,-0.025030831538746204,0.625,16,16,,,market_subtracted
53,0.660377358490566,0.5660377358490566,0.5904761904761904,0.17215908936952806,0.6898784596800752,0.24838483144442264,0.6158730158730159,0.7605714864547166,sentence_sentiment,xgboost,walk_forward_2019,0.04823517206719836,0.046235172067198356,0.031242836467541613,-0.016992335599656745,0.7,10,10,,,market_subtracted
74,0.43243243243243246,0.7162162162162162,0.7053571428571428,0.4168062163683311,0.649819091383247,0.22813658692516514,0.6636904761904763,0.5820183529636866,sentence_sentiment,xgboost,walk_forward_2020,0.025071714846335115,0.023071714846335113,-0.0004234967502915924,-0.025495211596626707,0.6428571428571429,14,14,,,market_subtracted
66,0.6363636363636364,0.6060606060606061,0.5565476190476191,0.11838063674131637,0.6476876327706935,0.22749081105878818,0.5942460317460317,0.6897060680232332,sentence_sentiment,xgboost,walk_forward_2021,0.03426383045971816,0.03226383045971816,0.02889556357786533,-0.0053682668818528295,0.7692307692307693,13,13,,,market_subtracted
83,0.5301204819277109,0.5180722891566265,0.5221445221445221,0.04460204496291991,0.7146241678879698,0.2594875584869534,0.5343822843822844,0.5486432954595598,sentence_sentiment,xgboost,walk_forward_2022,0.025883745372981486,0.023883745372981484,0.014396271997220092,-0.011487473375761392,0.5,16,16,,,market_subtracted
53,0.660377358490566,0.4716981132075472,0.4920634920634921,-0.015167191839776335,0.8169249353023957,0.2967087401424667,0.46190476190476193,0.6511025391459808,financial_dictionary,logistic,walk_forward_2019,0.0142378815633045,0.0122378815633045,0.02796042295735297,0.01372254139404847,0.6,10,10,,,market_subtracted
74,0.43243243243243246,0.581081081081081,0.59375,0.18827204144640702,0.6838062824596935,0.2449830298515966,0.6190476190476191,0.5574664344097364,financial_dictionary,logistic,walk_forward_2020,0.034836681675246284,0.03283668167524628,0.014609904740372262,-0.020226776934874024,0.6428571428571429,14,14,,,market_subtracted
66,0.6363636363636364,0.5454545454545454,0.47321428571428575,-0.060133779430295485,0.6688026938415449,0.23844973432517522,0.5436507936507936,0.7164540522436506,financial_dictionary,logistic,walk_forward_2021,0.015368501035969314,0.013368501035969314,0.021966462470753866,0.006597961434784551,0.7692307692307693,13,13,,,market_subtracted
83,0.5301204819277109,0.5180722891566265,0.5119463869463869,0.024365944062622862,0.7196131706963725,0.26258686139255805,0.48484848484848486,0.5408169838912223,financial_dictionary,logistic,walk_forward_2022,0.013491410283412365,0.011491410283412365,0.01493132536873233,0.0014399150853199654,0.5,16,16,,,market_subtracted
53,0.660377358490566,0.5094339622641509,0.5071428571428571,0.013533299049019168,0.7010533584266795,0.2537029160224179,0.5603174603174603,0.7344158811336358,financial_dictionary,xgboost,walk_forward_2019,0.013348617110848476,0.011348617110848476,0.03031794695821121,0.016969329847362734,0.8,10,10,,,market_subtracted
74,0.43243243243243246,0.6486486486486487,0.6421130952380952,0.28422619047619047,0.653702222789698,0.23013624122863657,0.6889880952380952,0.6069115126410938,financial_dictionary,xgboost,walk_forward_2020,0.04911763531754307,0.047117635317543066,0.014361695921118276,-0.03475593939642479,0.6428571428571429,14,14,,,market_subtracted
66,0.6363636363636364,0.5757575757575758,0.5327380952380952,0.0668153104781061,0.7152081234703496,0.25922443924387445,0.4791666666666667,0.6089179716215902,financial_dictionary,xgboost,walk_forward_2021,-7.000308625740173e-05,-0.0020700030862574018,0.003228311082371318,0.0032983141686287196,0.46153846153846156,13,13,,,market_subtracted
83,0.5301204819277109,0.4457831325301205,0.4423076923076923,-0.11585819832352949,0.7275039122955665,0.2664818436876036,0.4539627039627039,0.5117604307897694,financial_dictionary,xgboost,walk_forward_2022,0.002159158088302789,0.00015915808830278908,0.0010966182703394493,-0.0010625398179633398,0.375,16,16,,,market_subtracted
53,0.660377358490566,0.5283018867924528,0.5349206349206349,0.06616279535076038,0.6772050438923647,0.243884995868211,0.6031746031746033,0.7650524351519014,historical_surprise,logistic,walk_forward_2019,0.03243086436695579,0.030430864366955787,0.033451108308853436,0.0010202439418976485,0.8,10,10,,,market_subtracted
74,0.43243243243243246,0.527027027027027,0.5275297619047619,0.0545544725589981,0.6888213020653218,0.24752848027180502,0.6041666666666666,0.5614799966680166,historical_surprise,logistic,walk_forward_2020,0.010547597469772586,0.008547597469772586,-0.010445299473870335,-0.02099289694364292,0.5,14,14,,,market_subtracted
66,0.6363636363636364,0.6818181818181818,0.5892857142857143,0.25031308716087947,0.6466463331484206,0.22731492936888875,0.5972222222222222,0.7017882757769528,historical_surprise,logistic,walk_forward_2021,0.020628390019078492,0.01862839001907849,0.011091148881989376,-0.009537241137089114,0.6923076923076923,13,13,,,market_subtracted
83,0.5301204819277109,0.5180722891566265,0.5148601398601399,0.029842263204545475,0.7137610083554559,0.2595266574799785,0.5168997668997669,0.5794610936122053,historical_surprise,logistic,walk_forward_2022,0.038493931126609045,0.03649393112660904,0.013133796533517332,-0.02536013459309171,0.5,16,16,,,market_subtracted
53,0.660377358490566,0.5849056603773585,0.6047619047619047,0.19877173863915526,0.702965353942413,0.25348690091951276,0.6126984126984127,0.7425142994722963,historical_surprise,xgboost,walk_forward_2019,0.020868969554087458,0.018868969554087456,0.025485695128492015,0.004616725574404556,0.7,10,10,,,market_subtracted
74,0.43243243243243246,0.6081081081081081,0.5915178571428572,0.18836693086015685,0.6686011067282014,0.23726069469498257,0.6250000000000001,0.5735430443504761,historical_surprise,xgboost,walk_forward_2020,0.005681382980512451,0.003681382980512451,0.003754834936675673,-0.0019265480438367777,0.5714285714285714,14,14,,,market_subtracted
